DATE,ID,NAME,IN,OUT
2024-01-01,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-02,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-03,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-04,2,MD. ROBIN MIA,9:00:00,17:00:00
,,,,
2024-01-06,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-07,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-08,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-09,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-10,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-11,2,MD. ROBIN MIA,9:00:00,17:00:00
,,,,
2024-01-13,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-14,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-15,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-16,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-17,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-18,2,MD. ROBIN MIA,9:00:00,17:00:00
,,,,
2024-01-20,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-21,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-22,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-23,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-24,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-25,2,MD. ROBIN MIA,9:00:00,17:00:00
,,,,
2024-01-27,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-28,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-29,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-30,2,MD. ROBIN MIA,9:00:00,17:00:00
2024-01-31,2,MD. ROBIN MIA,9:00:00,17:00:00
,,,,
2024-01-01,1,Md. Rahim,9:00:00,17:00:00
2024-01-02,1,Md. Rahim,9:00:00,17:00:00
2024-01-03,1,Md. Rahim,9:00:00,17:00:00
2024-01-04,1,Md. Rahim,9:00:00,17:00:00
,,,,
2024-01-06,1,Md. Rahim,9:00:00,17:00:00
2024-01-07,1,Md. Rahim,9:00:00,17:00:00
2024-01-08,1,Md. Rahim,9:00:00,17:00:00
2024-01-09,1,Md. Rahim,9:00:00,17:00:00
2024-01-10,1,Md. Rahim,9:00:00,17:00:00
2024-01-11,1,Md. Rahim,9:00:00,17:00:00
,,,,
2024-01-13,1,Md. Rahim,9:00:00,17:00:00
2024-01-14,1,Md. Rahim,9:00:00,17:00:00
2024-01-15,1,Md. Rahim,9:00:00,17:00:00
2024-01-16,1,Md. Rahim,9:00:00,17:00:00
2024-01-17,1,Md. Rahim,9:00:00,17:00:00
2024-01-18,1,Md. Rahim,9:00:00,17:00:00
,,,,
2024-01-20,1,Md. Rahim,9:00:00,17:00:00
2024-01-21,1,Md. Rahim,9:00:00,17:00:00
2024-01-22,1,Md. Rahim,9:00:00,17:00:00
2024-01-23,1,Md. Rahim,9:00:00,17:00:00
2024-01-24,1,Md. Rahim,9:00:00,17:00:00
2024-01-25,1,Md. Rahim,9:00:00,17:00:00
,,,,
2024-01-27,1,Md. Rahim,9:00:00,17:00:00
2024-01-28,1,Md. Rahim,9:00:00,17:00:00
2024-01-29,1,Md. Rahim,9:00:00,17:00:00
2024-01-30,1,Md. Rahim,9:00:00,17:00:00
2024-01-31,1,Md. Rahim,9:00:00,17:00:00
